TotalCount NumWorkers Duration Pi_Error
720720 1 89 5.084967328671622E-4
720720 1 48 2.682361905152112E-4
720720 1 78 8.359023313234591E-4
720720 1 52 8.450754048117503E-5
720720 1 67 5.620759779074236E-4
720720 1 72 4.4901219327116984E-4
720720 1 63 3.5126740735741814E-4
720720 1 66 7.770232213784241E-4
720720 1 68 6.239077351303949E-4
720720 1 77 9.60751871412319E-4
720720 1 66 0.001013750520460479
720720 2 63 2.3701759707810556E-4
720720 2 58 9.745448791784238E-5
720720 2 62 5.5055568679229514E-5
720720 2 67 0.0010107978731826843
720720 2 54 1.5575300187091739E-4
720720 2 60 5.009566908864265E-6
720720 2 52 8.783012505619306E-4
720720 2 70 4.454789500012737E-4
720720 2 49 9.922110955271979E-5
720720 2 57 7.346243021398112E-4
720720 2 57 0.0010208170070002713
720720 3 53 9.03033953451204E-4
720720 3 51 9.334064865598617E-5
720720 3 59 7.210719250521865E-4
720720 3 71 3.730474629686139E-4
720720 3 51 3.901330833261348E-4
720720 3 64 1.2513983808491047E-4
720720 3 57 2.5023000885182624E-5
720720 3 72 1.9108543456973788E-4
720720 3 79 6.427599771227932E-4
720720 3 55 5.402959222962279E-4
720720 3 56 3.495007857225407E-4
720720 4 62 3.327551306789239E-5
720720 4 55 2.5023000885182624E-5
720720 4 61 3.918997049610122E-4
720720 4 58 2.5586983907050387E-4
720720 4 65 0.001510751795871086
720720 4 59 8.097429721127884E-5
720720 4 68 9.837179526665735E-4
720720 4 57 4.572647054538796E-4
720720 4 64 4.268921723452219E-5
720720 4 54 0.0010261168719051864
720720 4 62 1.8225232639492673E-4
720720 5 70 4.908305165178227E-4
720720 5 72 3.7776673188156883E-4
720720 5 75 9.448522766978568E-4
720720 5 56 1.8697159530788165E-4
720720 5 62 2.9029799605069083E-7
720720 5 70 5.196770586688109E-4
720720 5 64 7.448840666358785E-5
720720 5 73 2.700028121500886E-4
720720 5 78 5.385293006612091E-4
720720 5 58 1.3220632462470283E-4
720720 5 57 3.707002453417765E-4
720720 6 65 0.001047316331524422
720720 6 66 9.784180877616586E-4
720720 6 89 8.341357096884403E-4
720720 6 88 5.897613280744918E-4
720720 6 62 2.329037578163907E-4
720720 6 68 6.627734110991115E-4
720720 6 93 7.982226809976599E-4
720720 6 78 3.857537797266598E-5
720720 6 79 0.0010037313866428919
720720 6 64 3.8129997515146504E-4
720720 6 65 4.0837989566757575E-4
720720 7 77 5.328894704421074E-5
720720 7 68 4.6222460504418377E-5
720720 7 84 3.3890105591285216E-4
720720 7 85 0.001293457334773248
720720 7 73 6.330808086193928E-5
720720 7 75 7.469906535843773E-4
720720 7 79 5.10263354502181E-4
720720 7 72 1.840189480299455E-4
720720 7 59 6.498264636625856E-4
720720 7 86 6.939920045360759E-4
720720 7 83 0.0014253733614019003
720720 8 74 8.508813647313505E-5
720720 8 68 9.077532223640176E-4
720720 8 74 1.0982083936240834E-4
720720 8 80 9.334064865598617E-5
720720 8 75 1.445726760692688E-4
