TotalCount NumWorkers Duration Pi_Error
72072000 1 5955 1.0113145006596094E-4
72072000 1 6739 1.0521234604273557E-4
72072000 1 6132 2.1383760317162696E-5
72072000 1 6703 6.912026604093051E-5
72072000 1 6070 3.484780632306475E-5
72072000 1 7034 1.3609050307391047E-4
72072000 1 7287 1.811551029257587E-5
72072000 1 6047 5.3147617313426205E-5
72072000 1 7602 6.097375115620314E-5
72072000 1 7329 4.0130005011437266E-5
72072000 1 6316 7.26511201632475E-5
144144000 2 13267 4.615418478667599E-5
144144000 2 13270 3.390718965322042E-6
144144000 2 13533 9.485563605882359E-6
144144000 2 13525 2.5499988726598113E-5
144144000 2 13872 3.0908240077074665E-5
144144000 2 14298 5.41834801174292E-5
144144000 2 14123 3.311220991729234E-6
144144000 2 14282 4.655167465449867E-5
144144000 2 13870 3.123506507957575E-5
144144000 2 15121 1.6240973303032707E-6
144144000 2 15473 7.908401206201796E-5
216216000 3 25764 7.661663051182974E-5
216216000 3 23768 1.7285198124128358E-5
216216000 3 23122 2.2508509424827126E-5
216216000 3 23136 3.164002522191456E-6
216216000 3 24564 1.4166555716658518E-5
216216000 3 25260 2.2852445421790523E-5
216216000 3 22914 2.1923606229594034E-6
216216000 3 24449 1.2594262461486157E-5
216216000 3 23484 1.9611249943390687E-5
216216000 3 26277 3.287857842186712E-5
216216000 3 26085 5.696352004489147E-5
