TotalCount NumWorkers Duration Pi_Error
720720 1 70 0.000206404433292 
720720 1 31 0.000418399029485 
720720 1 29 0.000923652817078 
720720 1 29 0.000243503487626 
720720 1 30 0.000990784439206 
720720 1 29 0.000021489757615 
720720 1 30 0.000244084083618 
720720 1 30 0.000337134434278 
720720 1 28 0.000849454708411 
720720 1 29 0.000755823761759 
720720 1 28 0.000526162949217 
1441440 2 48 0.000420746247112 
1441440 2 30 0.000460495233898 
1441440 2 29 0.000813819560887 
1441440 2 29 0.000774953884918 
1441440 2 30 0.000127789770537 
1441440 2 28 0.000608891451233 
1441440 2 28 0.000402196719945 
1441440 2 29 0.000194921392665 
1441440 2 33 0.000292666178579 
1441440 2 30 0.000498780313875 
1441440 2 29 0.000078021649933 
2162160 3 45 0.000467267283499 
2162160 3 29 0.000096276740161 
2162160 3 30 0.000053297224931 
2162160 3 33 0.000069188541759 
2162160 3 30 0.000061533181341 
2162160 3 29 0.000086274162116 
2162160 3 30 0.000222304028007 
2162160 3 31 0.001050849574794 
2162160 3 28 0.000018553666110 
2162160 3 31 0.000526154671330 
2162160 3 33 0.000159286245141 
2882880 4 50 0.000213609860415 
2882880 4 29 0.000354497935802 
2882880 4 28 0.000496710977415 
2882880 4 29 0.000175046899272 
2882880 4 28 0.000342131584357 
2882880 4 34 0.000149569826148 
2882880 4 29 0.000036064386103 
2882880 4 29 0.000103057067648 
2882880 4 29 0.000245711764670 
2882880 4 29 0.000233484353808 
2882880 4 32 0.000058449871366 
3603600 5 46 0.000102880405485 
3603600 5 29 0.000683972870718 
3603600 5 29 0.000020909161623 
3603600 5 31 0.000154339704563 
3603600 5 32 0.000165418811362 
3603600 5 29 0.000347608111426 
3603600 5 29 0.000085567513462 
3603600 5 29 0.000199691271079 
3603600 5 31 0.000432052625576 
3603600 5 31 0.000271416109458 
3603600 5 34 0.000311695082735 
4324320 6 50 0.000319173780989 
4324320 6 32 0.000137497911643 
4324320 6 34 0.000372172430038 
4324320 6 29 0.000284430222169 
4324320 6 30 0.000635987927522 
4324320 6 29 0.000242906335861 
4324320 6 31 0.000212587609015 
4324320 6 32 0.000097168328865 
4324320 6 29 0.000113951234397 
4324320 6 34 0.000167824916376 
4324320 6 32 0.000280005390195 
5045040 7 57 0.000149872540974 
5045040 7 32 0.000022423408739 
5045040 7 29 0.000072217035990 
5045040 7 29 0.000136496691452 
5045040 7 30 0.000312225203823 
5045040 7 31 0.000237194124644 
5045040 7 32 0.000069617443844 
5045040 7 32 0.000120925318211 
5045040 7 30 0.000401565783647 
5045040 7 31 0.000042436842715 
5045040 7 35 0.000122868467411 
5765760 8 47 0.000050639014592 
5765760 8 39 0.000062645597749 
5765760 8 36 0.000018038401467 
5765760 8 35 0.000070513507985 
5765760 8 35 0.000330206888321 
5765760 8 36 0.000690597701849 
5765760 8 45 0.000319247390224 
5765760 8 40 0.000246292360662 
5765760 8 38 0.000125802321198 
5765760 8 37 0.000097012832509 
5765760 8 42 0.000081857608029 
6486480 9 62 0.000305138953556 
6486480 9 40 0.000041315178185 
6486480 9 40 0.000170082266243 
6486480 9 53 0.000132795198503 
6486480 9 36 0.000110025408542 
6486480 9 38 0.000040333721721 
6486480 9 56 0.000147909628046 
6486480 9 42 0.000417605586428 
6486480 9 38 0.000025023000885 
6486480 9 42 0.000147116184989 
6486480 9 39 0.000053681529630 
7207200 10 66 0.000111234136670 
7207200 10 51 0.000298319367811 
7207200 10 36 0.000273939989248 
7207200 10 44 0.000072015136375 
7207200 10 48 0.000107347569073 
7207200 10 42 0.000068607945767 
7207200 10 50 0.000234720988953 
7207200 10 51 0.000202517865695 
7207200 10 43 0.000216701448276 
7207200 10 43 0.000103637663640 
7207200 10 44 0.000267352879698 
7927920 11 76 0.000042108621243 
7927920 11 48 0.000096009070216 
7927920 11 58 0.000199498548719 
7927920 11 59 0.000038192362164 
7927920 11 54 0.000076255028298 
7927920 11 54 0.000136863781662 
7927920 11 59 0.000128351877421 
7927920 11 65 0.000112131078773 
7927920 11 55 0.000215175729592 
7927920 11 59 0.000043813431002 
7927920 11 57 0.000535416051417 
8648640 12 58 0.000098934950500 
8648640 12 57 0.000427518296713 
8648640 12 41 0.000342278802827 
8648640 12 56 0.000019142539988 
8648640 12 57 0.000078168868403 
8648640 12 55 0.000157380682923 
