TotalCount NumWorkers Duration Pi_Error
7207200 1 673 2.850190960470414E-4
7207200 1 644 3.180549206205071E-4
7207200 1 519 2.603236436465468E-5
7207200 1 599 1.2519044758639315E-4
7207200 1 623 8.226154185730291E-5
7207200 1 622 2.2265735233359282E-4
7207200 1 594 8.120156887634819E-5
7207200 1 682 1.3667348821344973E-4
7207200 1 645 7.35544863445958E-5
7207200 1 634 5.590162900824289E-6
7207200 1 580 4.353527756282877E-6
14414400 2 1141 1.786818326366759E-5
14414400 2 1410 8.57947851271991E-5
14414400 2 1118 1.4423271075494072E-5
14414400 2 1090 2.1792472440835802E-5
14414400 2 1208 1.8202505472999874E-4
14414400 2 1153 3.424715496712444E-5
14414400 2 1231 2.334471033202788E-5
14414400 2 1118 1.9016487326344977E-5
14414400 2 1377 6.15414592269205E-5
14414400 2 1191 2.2009575096292868E-4
14414400 2 1039 1.6856100872423804E-4
21621600 3 2072 2.048867202214683E-5
21621600 3 1733 2.933005808314906E-5
21621600 3 1717 1.780795997452554E-4
21621600 3 1669 6.0826532686665364E-5
21621600 3 1716 1.883766147293946E-4
21621600 3 1881 3.5373822130624085E-6
21621600 3 1764 5.270007316591827E-5
21621600 3 1722 2.279355803397541E-5
21621600 3 1751 1.0416765013060272E-4
21621600 3 1730 1.2184214436627473E-4
21621600 3 1694 1.8023679619537815E-5
28828800 4 2227 2.798209212366944E-5
28828800 4 2267 1.2524152817961978E-5
28828800 4 2270 9.657117710033298E-5
28828800 4 2281 9.343542369825949E-5
28828800 4 2177 3.309885090444705E-5
28828800 4 2435 1.1379573804091785E-4
28828800 4 2593 1.794192878184026E-4
28828800 4 2909 1.061992650107895E-4
28828800 4 2303 4.7850141556231815E-5
28828800 4 2202 8.301235605215762E-5
28828800 4 2683 3.0007263043305558E-5
36036000 5 2864 1.2464710208349456E-5
36036000 5 2863 7.250979043246295E-5
36036000 5 2930 7.607836613501993E-5
36036000 5 2953 5.49342943122839E-5
36036000 5 3696 1.3167633813422548E-4
36036000 5 2922 8.16456134326821E-5
36036000 5 3099 6.341407816006302E-5
36036000 5 2716 1.6783669385391428E-4
36036000 5 2904 6.722998089152828E-5
36036000 5 2810 5.770550113161632E-5
36036000 5 3020 1.289710178851976E-4
43243200 6 3557 2.7210112121239622E-5
43243200 6 3427 1.4511602157216739E-5
43243200 6 3789 6.70902326959412E-6
43243200 6 3598 9.632226853622725E-6
43243200 6 3697 2.498575039682797E-6
43243200 6 3486 6.179817458589741E-5
43243200 6 3503 8.568528823790132E-5
43243200 6 3536 1.3283244899149132E-5
43243200 6 3402 1.0767144970644998E-4
43243200 6 3493 2.4816895027688378E-5
43243200 6 3479 4.3845799183673386E-5
50450400 7 4040 6.90369824494466E-5
50450400 7 4206 8.892422916626213E-5
50450400 7 4279 7.050088925891601E-5
50450400 7 4306 1.1295014880378984E-4
50450400 7 4255 1.2264133034406845E-4
50450400 7 4228 1.3590300564245652E-5
50450400 7 4296 1.4221236862466642E-5
50450400 7 4917 1.1789682397921294E-4
50450400 7 4334 4.9579041610869224E-5
50450400 7 4222 2.0480259538132858E-5
50450400 7 4204 1.0038203234141813E-4
57657600 8 4999 4.188779353818482E-5
57657600 8 4767 6.170248258066252E-5
57657600 8 5666 3.848704689094332E-5
57657600 8 4994 3.8111639793515965E-5
57657600 8 5006 5.027924630424127E-5
57657600 8 5683 5.767697440052898E-5
57657600 8 4864 6.006191360774778E-5
57657600 8 4663 5.956045384821639E-5
57657600 8 5004 7.442215835226052E-5
57657600 8 4861 8.128345599752021E-5
57657600 8 5299 4.6696015949602476E-7
64864800 9 5542 1.0641119241209433E-6
64864800 9 5553 1.2126662950139298E-5
64864800 9 5674 9.809089794105782E-5
64864800 9 5642 7.474559311473283E-6
64864800 9 6397 1.984091075603925E-5
64864800 9 5949 2.8634760672118505E-5
64864800 9 5613 3.823541265805517E-6
64864800 9 5379 4.752380458284722E-7
64864800 9 5701 2.4246113600411326E-5
64864800 9 5412 7.963951642047314E-5
64864800 9 5602 5.029396815112437E-5
72072000 10 6771 3.903469959782175E-5
72072000 10 6666 2.9916542814003682E-5
72072000 10 6477 1.3879925572454135E-6
72072000 10 6206 2.4033692769549495E-5
72072000 10 6188 7.779198912083548E-5
72072000 10 6448 4.13961510434153E-7
72072000 10 6713 1.903654269032526E-5
72072000 10 6224 9.003706619859719E-5
72072000 10 6588 4.945537809634441E-5
72072000 10 6592 3.249819954850674E-5
72072000 10 6566 1.0113145006596094E-4
79279200 11 7185 7.525686719284292E-5
79279200 11 7598 4.0029046128510946E-7
79279200 11 7104 6.208993482556538E-5
79279200 11 7979 1.8406199852509074E-5
79279200 11 8018 1.8374079459052572E-5
79279200 11 7470 1.0055167696576737E-4
79279200 11 7420 7.218936962665246E-5
79279200 11 7667 2.8154739238003387E-5
79279200 11 7421 6.841522340653928E-5
79279200 11 7071 3.620089777539194E-5
79279200 11 7191 1.022379976174276E-4
86486400 12 8324 4.408134873493383E-5
